sim time[s],generated time[s],received time[s],queue_owner,ID UAV,ID pkt,priority,type,size file[bit],cnt packet_sent,total pkt,state,total load [bps],bit tot lost[bps],bit relay lost[bps],bit UAVs lost[bps],bit lost congestion[bps],bit cong relay lost[bps],bit cong UAVs lost,bit lost expired[bps],bit exp relay lost[bps],bit exp UAVs lost,delta_t_msg
4.0256,4,4.0256,queue,1,0,0,json,1280,1,1,RECEIVED,317.9650238473768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4.116287348423178,4,4.116287348423178,queue,3,0,0,json,1280,1,1,RECEIVED,621.9196531507104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4.14823621972933,4,4.14823621972933,queue,2,0,0,json,1280,1,1,RECEIVED,925.6946317899317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4.200017852919913,4,4.200017852919913,queue,5,0,0,json,1280,1,1,RECEIVED,1219.0424372697612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4.22982354170278,4,4.22982354170278,queue,9,0,0,json,1280,1,1,RECEIVED,1513.0654829689615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4.285268277273871,4,4.285268277273871,queue,10,0,0,json,1280,1,1,RECEIVED,1792.186510405769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4.3370711052295245,4,,queue,6,0,0,json,1280,1,1,removed - expiration,2065.9103304062205,295.13004720088867,0.0,295.13004720088867,0.0,0.0,0.0,295.13004720088867,0.0,295.13004720088867,4
4.380661381111829,4,4.380661381111829,queue,8,0,0,json,1280,1,1,RECEIVED,2337.546573253066,292.19332165663326,0.0,292.19332165663326,0.0,0.0,0.0,292.19332165663326,0.0,292.19332165663326,4
4.571875378475321,4,4.571875378475321,queue,4,0,0,json,1280,1,1,RECEIVED,2519.7537216864857,279.9726357429429,0.0,279.9726357429429,0.0,0.0,0.0,279.9726357429429,0.0,279.9726357429429,4
4.995913089242634,4,4.995913089242634,queue,7,0,0,json,1280,1,1,RECEIVED,2562.09421007771,256.209421007771,0.0,256.209421007771,0.0,0.0,0.0,256.209421007771,0.0,256.209421007771,4
8.0256,8,8.0256,queue,1,1,0,json,1280,1,1,RECEIVED,1754.3859649122805,159.48963317384369,0.0,159.48963317384369,0.0,0.0,0.0,159.48963317384369,0.0,159.48963317384369,4
8.133227079705083,8,8.133227079705083,queue,10,1,0,json,1280,1,1,RECEIVED,1888.5492621161347,157.37910517634455,0.0,157.37910517634455,0.0,0.0,0.0,157.37910517634455,0.0,157.37910517634455,4
8.159050173931362,8,8.159050173931362,queue,9,1,0,json,1280,1,1,RECEIVED,2039.4530791299412,156.88100608691857,0.0,156.88100608691857,0.0,0.0,0.0,156.88100608691857,0.0,156.88100608691857,4
8.17986332277221,8,,queue,5,1,0,json,1280,1,1,removed - expiration,2190.7456509831745,312.96366442616784,0.0,312.96366442616784,0.0,0.0,0.0,312.96366442616784,0.0,312.96366442616784,4
8.196577372023379,8,8.196577372023379,queue,6,1,0,json,1280,1,1,RECEIVED,2342.441134702588,312.32548462701175,0.0,312.32548462701175,0.0,0.0,0.0,312.32548462701175,0.0,312.32548462701175,4
8.234657399126435,8,8.234657399126435,queue,3,1,0,json,1280,1,1,RECEIVED,2487.0494311241896,310.8811788905237,0.0,310.8811788905237,0.0,0.0,0.0,310.8811788905237,0.0,310.8811788905237,4
8.36571787718284,8,8.36571787718284,queue,4,1,0,json,1280,1,1,RECEIVED,2601.091779505203,306.01079758884737,0.0,306.01079758884737,0.0,0.0,0.0,306.01079758884737,0.0,306.01079758884737,4
8.459532597074345,8,8.459532597074345,queue,8,1,0,json,1280,1,1,RECEIVED,2723.5547278307295,302.61719198119215,0.0,302.61719198119215,0.0,0.0,0.0,302.61719198119215,0.0,302.61719198119215,4
8.534491803805432,8,8.534491803805432,queue,7,1,0,json,1280,1,1,RECEIVED,2849.6131414826586,299.9592780508062,0.0,299.9592780508062,0.0,0.0,0.0,299.9592780508062,0.0,299.9592780508062,4
8.625419839943731,8,8.625419839943731,queue,2,1,0,json,1280,1,1,RECEIVED,2967.9714698000143,296.7971469800014,0.0,296.7971469800014,0.0,0.0,0.0,296.7971469800014,0.0,296.7971469800014,4
12.0512,12,12.0512,queue,1,2,0,json,1280,1,1,RECEIVED,2230.483271375465,212.42697822623472,0.0,212.42697822623472,0.0,0.0,0.0,212.42697822623472,0.0,212.42697822623472,4
12.11102918986467,12,12.11102918986467,queue,9,2,0,json,1280,1,1,RECEIVED,2325.1533423407313,211.37757657643013,0.0,211.37757657643013,0.0,0.0,0.0,211.37757657643013,0.0,211.37757657643013,4
12.188167740573014,12,12.188167740573014,queue,5,2,0,json,1280,1,1,RECEIVED,2415.457403166319,210.0397741883756,0.0,210.0397741883756,0.0,0.0,0.0,210.0397741883756,0.0,210.0397741883756,4
12.305898497527462,12,,queue,3,2,0,json,1280,1,1,removed - expiration,2496.363837729716,312.0454797162145,0.0,312.0454797162145,0.0,0.0,0.0,312.0454797162145,0.0,312.0454797162145,4
12.309430736739973,12,12.309430736739973,queue,6,2,0,json,1280,1,1,RECEIVED,2599.6328087284783,311.9559370474174,0.0,311.9559370474174,0.0,0.0,0.0,311.9559370474174,0.0,311.9559370474174,4
12.367540467014974,12,12.367540467014974,queue,7,2,0,json,1280,1,1,RECEIVED,2690.9149874027016,310.49019085415785,0.0,310.49019085415785,0.0,0.0,0.0,310.49019085415785,0.0,310.49019085415785,4
12.411590453400768,12,12.411590453400768,relay,8,2,0,json,1280,1,1,RECEIVED,2784.4940686494037,309.38822984993374,0.0,309.38822984993374,0.0,0.0,0.0,309.38822984993374,0.0,309.38822984993374,4
12.475804722068844,12,12.475804722068844,queue,10,2,0,json,1280,1,1,RECEIVED,2872.760579251573,307.7957763483828,0.0,307.7957763483828,0.0,0.0,0.0,307.7957763483828,0.0,307.7957763483828,4
12.852998553711839,12,12.852998553711839,queue,2,2,0,json,1280,1,1,RECEIVED,2888.0420273042087,298.7629683418147,0.0,298.7629683418147,0.0,0.0,0.0,298.7629683418147,0.0,298.7629683418147,4
13.70992959629088,12,13.70992959629088,queue,4,2,0,json,1280,1,1,RECEIVED,2800.889656675468,280.0889656675468,0.0,280.0889656675468,0.0,0.0,0.0,280.0889656675468,0.0,280.0889656675468,4
16.0256,16,16.0256,queue,1,3,0,json,1280,1,1,RECEIVED,2476.038338658147,239.61661341853033,0.0,239.61661341853033,0.0,0.0,0.0,239.61661341853033,0.0,239.61661341853033,4
16.0512,16,16.0512,relay,10,3,0,json,1280,1,1,RECEIVED,2551.834130781499,239.23444976076553,0.0,239.23444976076553,0.0,0.0,0.0,239.23444976076553,0.0,239.23444976076553,4
16.111613779492224,16,16.111613779492224,queue,9,3,0,json,1280,1,1,RECEIVED,2621.711305776549,238.33739143423173,0.0,238.33739143423173,0.0,0.0,0.0,238.33739143423173,0.0,238.33739143423173,4
16.172525438406097,16,16.172525438406097,queue,5,3,0,json,1280,1,1,RECEIVED,2690.9835551502565,237.43972545443438,0.0,237.43972545443438,0.0,0.0,0.0,237.43972545443438,0.0,237.43972545443438,4
16.210269197248795,16,16.210269197248795,queue,6,3,0,json,1280,1,1,RECEIVED,2763.680198944719,236.8868741952616,0.0,236.8868741952616,0.0,0.0,0.0,236.8868741952616,0.0,236.8868741952616,4
16.285616064147224,16,16.285616064147224,queue,2,3,0,json,1280,1,1,RECEIVED,2829.490749290418,235.79089577420152,0.0,235.79089577420152,0.0,0.0,0.0,235.79089577420152,0.0,235.79089577420152,4
16.357621796829495,16,16.357621796829495,queue,3,3,0,json,1280,1,1,RECEIVED,2895.286404603114,234.75295172457683,0.0,234.75295172457683,0.0,0.0,0.0,234.75295172457683,0.0,234.75295172457683,4
16.420125703865033,16,16.420125703865033,queue,7,3,0,json,1280,1,1,RECEIVED,2962.21849194193,233.85935462699447,0.0,233.85935462699447,0.0,0.0,0.0,233.85935462699447,0.0,233.85935462699447,4
