sim time[s],generated time[s],received time[s],queue_owner,ID UAV,ID pkt,priority,type,size file[bit],cnt packet_sent,total pkt,state,latency per pkt[s],total latency [s],latency tot[bps],latency RELAY [bps],latency UAVs [bps],delta msg [s]
32.237919967246796,32,32.237919967246796,relay,9,10,0,jpg,2400,4,63.0,RECEIVED,0.2379199672467962,,0.3359504768299947,0.1284032472846106,0.37964463041849666,4
32.28631084113274,32,32.28631084113274,relay,9,11,0,jpg,2400,5,63.0,RECEIVED,0.28631084113273886,,0.33115118430385193,0.11852607441656364,0.37964463041849666,4
32.33470209054773,32,32.33470209054773,relay,9,12,0,jpg,2400,6,63.0,RECEIVED,0.33470209054772937,,0.32648708311647373,0.11005992624395196,0.37964463041849666,4
32.38309371549611,32,32.38309371549611,relay,9,13,0,jpg,2400,7,63.0,RECEIVED,0.38309371549610916,,0.3219525402954116,0.10272259782768849,0.37964463041849666,4
32.43148571598221,32,32.43148571598221,relay,9,14,0,jpg,2400,8,63.0,RECEIVED,0.4314857159822125,,0.31754223152424155,0.09630243546345796,0.37964463041849666,4
32.47987809201038,32,32.47987809201038,relay,9,15,0,jpg,2400,9,63.0,RECEIVED,0.4798780920103809,,0.31325112028742746,0.09063758631854867,0.37964463041849666,4
32.528270843584934,32,32.528270843584934,relay,9,16,0,jpg,2400,10,63.0,RECEIVED,0.5282708435849344,,0.30907443868359513,0.08560216485640708,0.37964463041849666,4
32.5766639707102,32,32.5766639707102,relay,9,17,0,jpg,2400,11,63.0,RECEIVED,0.5766639707102001,,0.3050076697535478,0.08109678775870144,0.37964463041849666,4
32.62505747339049,32,32.62505747339049,relay,9,18,0,jpg,2400,12,63.0,RECEIVED,0.6250574733904912,,0.30104653118531993,0.07704194837076636,0.37964463041849666,4
32.673451351630135,32,32.673451351630135,relay,9,19,0,jpg,2400,13,63.0,RECEIVED,0.6734513516301348,,0.2971869602726876,0.07337328416263464,0.37964463041849666,4
