sim time[s],generated time[s],received time[s],queue_owner,ID UAV,ID pkt,priority,type,size file[bit],cnt packet_sent,total pkt,state,latency per pkt[s],total latency [s],throughput tot[bps],throughput RELAY [bps],throughput UAVs [bps],total load [bps],delta t msg,interval_time_ch_idle[s]
116.53359616574134,104.6663915784731,116.53359616574134,queue,9,1336,1,json,1280,1,1,RECEIVED,11.867204587268247,11.867204587268247,11032.929921525698,0.0,11032.929921525698,388402.5078538351,4,
116.56879194288724,104.99617254600918,116.56879194288724,queue,6,2565,1,json,1280,1,1,RECEIVED,11.572619396878068,11.572619396878068,11040.579374199553,0.0,11040.579374199553,388296.21758606425,4,
116.59630520340569,104.66842622523033,116.59630520340569,queue,9,1400,1,json,1280,1,1,RECEIVED,11.927878978175357,11.927878978175357,11048.95217522185,0.0,11048.95217522185,388215.56927584234,4,
116.6227659347914,105.00447632940471,116.6227659347914,queue,6,2616,1,json,1280,1,1,RECEIVED,11.618289605386693,11.618289605386693,11057.420818856577,0.0,11057.420818856577,388138.46196470736,4,
116.7687915784731,116.6663915784731,116.7687915784731,queue,7,28,0,json,1280,1,1,RECEIVED,0.10240000000000293,0.10240000000000293,11054.554753463513,0.0,11054.554753463513,387674.9976433381,4,
116.79167758636385,105.0140539198347,116.79167758636385,queue,6,2669,1,json,1280,1,1,RECEIVED,11.777623666529152,11.777623666529152,11063.34823424834,0.0,11063.34823424834,387609.9901598255,4,
116.85269575846544,116.6761642455522,116.85269575846544,queue,8,28,0,json,1280,1,1,RECEIVED,0.1765315129132432,0.1765315129132432,11068.525134186304,0.0,11068.525134186304,387418.54183300113,4,
116.89683534150342,104.6761642455522,116.89683534150342,queue,9,1464,1,json,1280,1,1,RECEIVED,12.220671095951218,12.220671095951218,11075.295547717342,0.0,11075.295547717342,387283.20461149747,4,
116.96100689509476,104.69242979240026,116.96100689509476,queue,9,1517,1,json,1280,1,1,RECEIVED,12.268577102694493,12.268577102694493,11080.162820095822,0.0,11080.162820095822,387081.66252883663,4,
116.99354481156367,105.01817039860046,116.99354481156367,queue,6,2722,1,json,1280,1,1,RECEIVED,11.975374412963205,11.975374412963205,11088.022010867235,0.0,11088.022010867235,386984.9492373449,4,
117.03537581348475,104.7164333613693,117.03537581348475,queue,9,1574,1,json,1280,1,1,RECEIVED,12.31894245211545,12.31894245211545,11094.995773494895,0.0,11094.995773494895,386857.569220394,4,
117.0734392626449,105.02847992178118,117.0734392626449,queue,6,2786,1,json,1280,1,1,RECEIVED,12.044959340863713,12.044959340863713,11102.321826251571,0.0,11102.321826251571,386742.72563586343,4,
117.1643987508237,105.0368483104231,117.1643987508237,queue,6,2839,1,json,1280,1,1,RECEIVED,12.127550440400597,12.127550440400597,11104.627462536722,0.0,11104.627462536722,386453.40634824603,4,
117.25425524220273,105.05248351595966,117.25425524220273,queue,6,2894,1,json,1280,1,1,RECEIVED,12.201771726243066,12.201771726243066,11107.034003242321,0.0,11107.034003242321,386168.16853656195,4,
117.3263898467843,105.07648711194037,117.3263898467843,queue,6,2951,1,json,1280,1,1,RECEIVED,12.249902734843928,12.249902734843928,11111.114913723992,0.0,11111.114913723992,385941.6543808458,4,
117.40714176583384,104.72922120397246,117.40714176583384,queue,9,1574,0,json,1280,1,1,RECEIVED,12.677920561861384,12.677920561861384,11114.374989237116,0.0,11114.374989237116,385687.10828779795,4,
117.48982023227265,105.1004907097235,117.48982023227265,queue,6,3013,1,json,1280,1,1,RECEIVED,12.389329522549147,12.389329522549147,11117.448281201901,0.0,11117.448281201901,385426.5919419737,4,
117.64245007403363,105.12449430930926,117.64245007403363,queue,6,3070,1,json,1280,1,1,RECEIVED,12.517955764724377,12.517955764724377,11113.90488022986,0.0,11113.90488022986,384937.4181811216,4,
117.7771187549515,104.72922120397246,117.7771187549515,queue,9,1634,1,json,1280,1,1,RECEIVED,13.047897550979044,13.047897550979044,11112.065007490928,0.0,11112.065007490928,384508.1411290349,4,
117.80849344397652,105.14849791069784,117.80849344397652,queue,6,3127,1,json,1280,1,1,RECEIVED,12.659995533278675,12.659995533278675,11119.970739825983,0.0,11119.970739825983,384416.60423691233,4,
117.89340397813903,105.15300100994087,117.89340397813903,queue,6,3186,1,json,1280,1,1,RECEIVED,12.740402968198168,12.740402968198168,11122.81905307574,0.0,11122.81905307574,384150.59258444945,4,
117.93356150229967,104.73503134667753,117.93356150229967,queue,9,1685,1,json,1280,1,1,RECEIVED,13.198530155622137,13.198530155622137,11129.885193659695,0.0,11129.885193659695,384030.63914182613,4,
117.98867791992932,104.74043693213767,117.98867791992932,queue,9,1744,1,json,1280,1,1,RECEIVED,13.248240987791647,13.248240987791647,11135.534554354697,0.0,11135.534554354697,383862.0942149729,4,
118.01678505480508,105.16562717147738,118.01678505480508,queue,6,3249,1,json,1280,1,1,RECEIVED,12.851157883327701,12.851157883327701,11143.728405999766,0.0,11143.728405999766,383781.51869640255,4,
118.20151110789591,104.76444050470558,118.20151110789591,queue,9,1807,1,json,1280,1,1,RECEIVED,13.437070603190335,13.437070603190335,11137.14188305383,0.0,11137.14188305383,383192.57152859145,4,
118.36846168299547,104.78844407907322,118.36846168299547,queue,9,1866,1,json,1280,1,1,RECEIVED,13.580017603922258,13.580017603922258,11132.247401583818,0.0,11132.247401583818,382662.9184495603,4,
118.4207522004887,105.17250151388946,118.4207522004887,queue,6,3313,1,json,1280,1,1,RECEIVED,13.248250686599249,13.248250686599249,11138.140701613926,0.0,11138.140701613926,382504.7566267111,4,
118.48138235095614,104.80432884198768,118.48138235095614,queue,9,1929,1,json,1280,1,1,RECEIVED,13.677053508968456,13.677053508968456,11143.244396737455,0.0,11143.244396737455,382319.8219094247,4,
118.55450416053945,104.81244765524082,118.55450416053945,queue,9,1990,1,json,1280,1,1,RECEIVED,13.742056505298635,13.742056505298635,11147.168210584727,0.0,11147.168210584727,382094.8121773485,4,
118.77479297909247,105.19650511888432,118.77479297909247,queue,6,3372,1,json,1280,1,1,RECEIVED,13.57828786020815,13.57828786020815,11137.270516925699,0.0,11137.270516925699,381396.92660187645,4,
118.94442193866311,104.83645123320858,118.94442193866311,queue,9,2047,1,json,1280,1,1,RECEIVED,14.107970705454534,14.107970705454534,11132.148766781273,0.0,11132.148766781273,380863.7703360398,4,
119.0000925608428,105.22050872568262,119.0000925608428,queue,6,3434,1,json,1280,1,1,RECEIVED,13.779583835160182,13.779583835160182,11137.697219204694,0.0,11137.697219204694,380696.3509447471,4,
119.2824592736949,104.83718214825542,119.2824592736949,queue,9,2107,1,json,1280,1,1,RECEIVED,14.445277125439475,14.445277125439475,11122.062775013283,0.0,11122.062775013283,379805.8933044721,4,
119.35496493852179,105.24011582131469,119.35496493852179,queue,6,3491,1,json,1280,1,1,RECEIVED,14.1148491172071,14.1148491172071,11126.030665620056,0.0,11126.030665620056,379585.89341747336,4,
119.54389755299333,104.8604548129767,119.54389755299333,queue,9,2169,1,json,1280,1,1,RECEIVED,14.68344274001663,14.68344274001663,11119.153944355538,0.0,11119.153944355538,378996.6859656362,4,
119.5995624887313,105.24451233428456,119.5995624887313,queue,6,3554,1,json,1280,1,1,RECEIVED,14.35505015444673,14.35505015444673,11124.681163656938,0.0,11124.681163656938,378830.99283301254,4,
119.73831962907906,104.99617254600918,119.73831962907906,queue,9,2574,1,json,1280,1,1,RECEIVED,14.74214708306988,14.74214708306988,11122.479454576953,0.0,11122.479454576953,378402.6796129884,4,
119.83673991697233,105.26851594469035,119.83673991697233,queue,6,3614,1,json,1280,1,1,RECEIVED,14.568223972281984,14.568223972281984,11124.025911616103,0.0,11124.025911616103,378102.58382690465,4,
119.95382291372111,105.01817039860046,119.95382291372111,queue,9,2756,1,json,1280,1,1,RECEIVED,14.935652515120651,14.935652515120651,11123.838887233735,0.0,11123.838887233735,377744.2010546954,4,
120.01068648770129,105.29251955690017,120.01068648770129,queue,6,3675,1,json,1280,1,1,RECEIVED,14.718166930801118,14.718166930801118,11129.233896490336,0.0,11129.233896490336,377575.88366635743,4,
120.0921527257273,105.31652317091425,120.0921527257273,queue,6,3730,1,json,1280,1,1,RECEIVED,14.775629554813051,14.775629554813051,11132.342702302103,0.0,11132.342702302103,377330.4081199329,4,
120.1152,120.1024,120.1152,queue,1,29,0,json,1280,1,1,RECEIVED,0.01279999999999859,0.01279999999999859,11140.86310475277,0.0,11140.86310475277,377268.6637494672,4,
120.1449289078414,105.24011582131469,120.1449289078414,queue,9,3552,1,json,1280,1,1,RECEIVED,14.904813086526715,14.904813086526715,11148.760186353384,0.0,11148.760186353384,377185.96541649237,4,
120.1756074815905,120.1500074815905,120.1756074815905,queue,4,29,0,json,1280,1,1,RECEIVED,0.02559999999999718,0.02559999999999718,11156.565197354103,0.0,11156.565197354103,377100.32800909475,4,
120.20911272808667,120.18351272808667,120.20911272808667,queue,3,29,0,json,1280,1,1,RECEIVED,0.02559999999999718,0.02559999999999718,11164.103698491384,0.0,11164.103698491384,377005.8689519897,4,
120.22560258308182,120.11296420190523,120.22560258308182,queue,2,29,0,json,1280,1,1,RECEIVED,0.11263838117659475,0.11263838117659475,11173.219107566614,0.0,11173.219107566614,376964.80638290895,4,
120.27807118809694,120.12964458319036,120.27807118809694,queue,5,29,0,json,1280,1,1,RECEIVED,0.14842660490658943,0.14842660490658943,11178.987048248111,0.0,11178.987048248111,376811.00596569263,4,
120.29469309501583,105.33200759800246,120.29469309501583,queue,6,3790,1,json,1280,1,1,RECEIVED,14.962685497013368,14.962685497013368,11188.082910165913,0.0,11188.082910165913,376769.5800528867,4,
120.33252900671619,120.30692900671619,120.33252900671619,queue,10,29,0,json,1280,1,1,RECEIVED,0.02559999999999718,0.02559999999999718,11195.202254286627,0.0,11195.202254286627,376661.7503523945,4,
120.40159707783934,105.34052678673278,120.40159707783934,queue,6,3849,1,json,1280,1,1,RECEIVED,15.06107029110656,15.06107029110656,11199.411243093771,0.0,11199.411243093771,376456.31038180407,4,
120.43533114564417,105.34587591840376,120.43533114564417,queue,9,3972,1,json,1280,1,1,RECEIVED,15.089455227240407,15.089455227240407,11206.902386209076,0.0,11206.902386209076,376361.49266850227,4,
120.50601767045423,105.34587591840376,120.50601767045423,queue,6,3913,1,json,1280,1,1,RECEIVED,15.160141752050464,15.160141752050464,11210.950507837055,0.0,11210.950507837055,376151.3480925001,4,
120.67613804363987,105.36453040435596,120.67613804363987,queue,6,3977,1,json,1280,1,1,RECEIVED,15.311607639283906,15.311607639283906,11205.753033884648,0.0,11205.753033884648,375631.6843981822,4,
120.7017642455522,120.6761642455522,120.7017642455522,queue,8,29,0,json,1280,1,1,RECEIVED,0.02559999999999718,0.02559999999999718,11213.978589794122,0.0,11213.978589794122,375562.53865336877,4,
120.8695042785243,105.60064085401544,120.8695042785243,queue,9,4676,1,json,1280,1,1,RECEIVED,15.268863424508865,15.268863424508865,11209.006010962197,0.0,11209.006010962197,375051.931176444,4,
120.93119488289356,105.38853402378399,120.93119488289356,queue,6,4029,1,json,1280,1,1,RECEIVED,15.542660859109574,15.542660859109574,11213.872494299065,0.0,11213.872494299065,374871.1905468215,4,
121.06209745666591,105.76523186687865,121.06209745666591,queue,9,5219,1,json,1280,1,1,RECEIVED,15.29686558978726,15.29686558978726,11212.320193658265,0.0,11212.320193658265,374476.4212120775,4,
121.0772904058508,105.41140565467714,121.0772904058508,queue,6,4081,1,json,1280,1,1,RECEIVED,15.665884751173664,15.665884751173664,11221.485015445516,0.0,11221.485015445516,374440.0031420692,4,
121.19300222556062,105.41253764501707,121.19300222556062,queue,6,4135,1,json,1280,1,1,RECEIVED,15.780464580543551,15.780464580543551,11221.332709201388,0.0,11221.332709201388,374093.0595614699,4,
121.36821482371896,105.4365412680554,121.36821482371896,queue,6,4190,1,json,1280,1,1,RECEIVED,15.931673555663565,15.931673555663565,11215.679508651518,0.0,11215.679508651518,373563.5484616147,4,
121.42670609594522,105.78923459161798,121.42670609594522,queue,9,5274,1,json,1280,1,1,RECEIVED,15.637471504327237,15.637471504327237,11220.818251657227,0.0,11220.818251657227,373394.1441528902,4,
121.46924028990651,105.46054489289916,121.46924028990651,queue,6,4256,1,json,1280,1,1,RECEIVED,16.008695397007344,16.008695397007344,11227.426768662552,0.0,11227.426768662552,373273.93249340705,4,
121.48243222547242,105.4845485195486,121.48243222547242,queue,6,4321,1,json,1280,1,1,RECEIVED,15.997883705923826,15.997883705923826,11236.744070668787,0.0,11236.744070668787,373243.9346937324,4,
